Level	Rule Name	Subject	Property	Value
ERROR	misused_obsolete_label	obsolete mitochondrial respiratory chain complex I whole organism decreased efficiency, abnormal	rdfs:label	obsolete mitochondrial respiratory chain complex I whole organism decreased efficiency, abnormal
ERROR	misused_obsolete_label	obsolete mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) whole organism decreased efficiency, abnormal	rdfs:label	obsolete mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) whole organism decreased efficiency, abnormal
ERROR	misused_obsolete_label	obsolete mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) whole organism decreased amount, abnormal	rdfs:label	obsolete mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) whole organism decreased amount, abnormal
ERROR	misused_obsolete_label	obsolete mitochondrial respiratory chain complex IV whole organism decreased efficiency, abnormal	rdfs:label	obsolete mitochondrial respiratory chain complex IV whole organism decreased efficiency, abnormal
ERROR	misused_obsolete_label	obsolete mitochondrial respiratory chain complex IV whole organism decreased amount, abnormal	rdfs:label	obsolete mitochondrial respiratory chain complex IV whole organism decreased amount, abnormal
ERROR	misused_obsolete_label	obsolete mitochondrial proton-transporting ATP synthase complex whole organism decreased efficiency, abnormal	rdfs:label	obsolete mitochondrial proton-transporting ATP synthase complex whole organism decreased efficiency, abnormal
ERROR	misused_obsolete_label	obsolete DNA demethylation decreased occurrence, abnormal	rdfs:label	obsolete DNA demethylation decreased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete positive regulation of NF-kappaB transcription factor activity increased occurrence, abnormal	rdfs:label	obsolete positive regulation of NF-kappaB transcription factor activity increased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete positive regulation of NF-kappaB transcription factor activity normal occurrence, abnormal	rdfs:label	obsolete positive regulation of NF-kappaB transcription factor activity normal occurrence, abnormal
ERROR	misused_obsolete_label	obsolete activation of cysteine-type endopeptidase activity involved in apoptotic process increased magnitude, abnormal	rdfs:label	obsolete activation of cysteine-type endopeptidase activity involved in apoptotic process increased magnitude, abnormal
ERROR	misused_obsolete_label	obsolete extracellular space lens absent, abnormal	rdfs:label	obsolete extracellular space lens absent, abnormal
