?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZP_0130897>	<http://www.w3.org/2000/01/rdf-schema#label>	"ceratobranchial 5 bone lacks parts or has fewer parts of type tooth 4V, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0106703>	<http://www.w3.org/2000/01/rdf-schema#label>	"female organism decreased weight, abnormal"	
<http://purl.obolibrary.org/obo/GO_0030099>	<http://www.w3.org/2000/01/rdf-schema#label>	"myeloid cell differentiation"	
<http://purl.obolibrary.org/obo/ZP_0020463>	<http://www.w3.org/2000/01/rdf-schema#label>	"opercle hypoplastic, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0138374>	<http://www.w3.org/2000/01/rdf-schema#label>	"neuron projection motor neuron size, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0011910>	<http://www.w3.org/2000/01/rdf-schema#label>	"endocardial cushion lacks parts or has fewer parts of type cardiac muscle cell, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0023060>	<http://www.w3.org/2000/01/rdf-schema#label>	"neuromast hair cell posterior lateral line neuromast spatial pattern, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0002242>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal habenular nucleus has fewer parts of type medial region neuron, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0107151>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal oblique extraocular muscle decreased amount, abnormal"	
<http://purl.obolibrary.org/obo/GO_0010744>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of macrophage derived foam cell differentiation"	
<http://purl.obolibrary.org/obo/ZP_0103276>	<http://www.w3.org/2000/01/rdf-schema#label>	"liver normal occurrence apoptotic process, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0152201>	<http://www.w3.org/2000/01/rdf-schema#label>	"telencephalon decreased occurrence phagocytosis, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0003675>	<http://www.w3.org/2000/01/rdf-schema#label>	"intersegmental artery malformed, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0013733>	<http://www.w3.org/2000/01/rdf-schema#label>	"neutrophil differentiation occurrence, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0144677>	<http://www.w3.org/2000/01/rdf-schema#label>	"dermatan sulfate bone tissue normal amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0100148>	<http://www.w3.org/2000/01/rdf-schema#label>	"erythroblast premature mitophagy, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0013978>	<http://www.w3.org/2000/01/rdf-schema#label>	"ocular blood vessel increased thickness, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0155476>	<http://www.w3.org/2000/01/rdf-schema#label>	"Follicle stimulating hormone hypophysis increased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0000434>	<http://www.w3.org/2000/01/rdf-schema#label>	"skeletal system"	
<http://purl.obolibrary.org/obo/ZP_0102827>	<http://www.w3.org/2000/01/rdf-schema#label>	"vasculature regenerating fin disorganized, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0102155>	<http://www.w3.org/2000/01/rdf-schema#label>	"T cell receptor V(D)J recombination arrested, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0153743>	<http://www.w3.org/2000/01/rdf-schema#label>	"pericyte increased frequency cell division, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0010920>	<http://www.w3.org/2000/01/rdf-schema#label>	"angiogenic sprout absent, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0016002>	<http://www.w3.org/2000/01/rdf-schema#label>	"islet broken, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0009322>	<http://www.w3.org/2000/01/rdf-schema#label>	"cone retinal bipolar cell"	
<http://purl.obolibrary.org/obo/ZP_0149531>	<http://www.w3.org/2000/01/rdf-schema#label>	"outer dynein arm Kupffer's vesicle absence of anatomical entity, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0012127>	<http://www.w3.org/2000/01/rdf-schema#label>	"melanophore stripe anal fin undulate, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0100219>	<http://www.w3.org/2000/01/rdf-schema#label>	"posterior cardinal vein increased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0019424>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kupffer's vesicle decreased distribution, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0005447>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensory canal tubule"	
<http://purl.obolibrary.org/obo/ZP_0020183>	<http://www.w3.org/2000/01/rdf-schema#label>	"inferior hyohyoid spatial pattern, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0138248>	<http://www.w3.org/2000/01/rdf-schema#label>	"testis fibrotic, abnormal"	
<http://purl.obolibrary.org/obo/GO_0032183>	<http://www.w3.org/2000/01/rdf-schema#label>	"SUMO binding"	
<http://purl.obolibrary.org/obo/ZP_0145446>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoreceptor disc membrane retina disorganized, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0144591>	<http://www.w3.org/2000/01/rdf-schema#label>	"dopaminergic neuron diencephalon decreased distribution, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0142554>	<http://www.w3.org/2000/01/rdf-schema#label>	"axon neuron decreased distribution, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0148426>	<http://www.w3.org/2000/01/rdf-schema#label>	"phosphatidylinositol 40:6 whole organism normal amount, abnormal"	
<http://purl.obolibrary.org/obo/GO_0030315>	<http://www.w3.org/2000/01/rdf-schema#label>	"T-tubule"	
<http://purl.obolibrary.org/obo/ZP_0012988>	<http://www.w3.org/2000/01/rdf-schema#label>	"sagitta position, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0003896>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell population proliferation quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0016176>	<http://www.w3.org/2000/01/rdf-schema#label>	"pharyngeal arch cartilage loose, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0141498>	<http://www.w3.org/2000/01/rdf-schema#label>	"intersegmental vessel increased distance intersegmental vessel, abnormal"	
<http://purl.obolibrary.org/obo/GO_0051775>	<http://www.w3.org/2000/01/rdf-schema#label>	"response to redox state"	
<http://purl.obolibrary.org/obo/ZP_0152753>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoreceptor connecting cilium retinal photoreceptor layer decreased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0013453>	<http://www.w3.org/2000/01/rdf-schema#label>	"anal fin proximal radial spatial pattern, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0005178>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kupffer's vesicle deformed, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0009742>	<http://www.w3.org/2000/01/rdf-schema#label>	"inner ear auditory receptor cell differentiation delayed, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0010799>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal fin increased length, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0106057>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal region pharyngeal arch 2 absent, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0147507>	<http://www.w3.org/2000/01/rdf-schema#label>	"embryonic blood vessel endothelial progenitor cell normal process quality endothelial cell fate specification, abnormal"	
<http://purl.obolibrary.org/obo/CHEBI_15843>	<http://www.w3.org/2000/01/rdf-schema#label>	"arachidonic acid"	
<http://purl.obolibrary.org/obo/ZP_0150119>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of heart rate decreased process quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0137237>	<http://www.w3.org/2000/01/rdf-schema#label>	"Collagen chondrocyte spatial pattern, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0021663>	<http://www.w3.org/2000/01/rdf-schema#label>	"myeloid cell increased occurrence cell population proliferation, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0012617>	<http://www.w3.org/2000/01/rdf-schema#label>	"opercle decreased volume, abnormal"	
