?x	?p	?y
<http://purl.obolibrary.org/obo/ZFA_0009306>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/CHEBI_24297>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_24298>
<http://purl.obolibrary.org/obo/CHEBI_40721>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_78675>
<http://purl.obolibrary.org/obo/GO_1904894>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0097696>
<http://purl.obolibrary.org/obo/CHEBI_32511>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_32510>
<http://purl.obolibrary.org/obo/CHEBI_22301>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_71671>
<http://purl.obolibrary.org/obo/ZFA_0005328>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000032>
<http://purl.obolibrary.org/obo/GO_0061159>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0000902>
<http://purl.obolibrary.org/obo/GO_0005762>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0005761>
<http://purl.obolibrary.org/obo/GO_0051386>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0048011>
<http://purl.obolibrary.org/obo/CHEBI_28790>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_77746>
<http://purl.obolibrary.org/obo/GO_0070965>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0070947>
<http://purl.obolibrary.org/obo/CHEBI_27889>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_50910>
<http://purl.obolibrary.org/obo/GO_0051338>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0016740>
