ID [IRI]	LABEL
http://purl.obolibrary.org/obo/PATO_0001788	increased mass density
http://purl.obolibrary.org/obo/PATO_0001789	domed
http://purl.obolibrary.org/obo/PATO_0001790	decreased mass density
http://purl.obolibrary.org/obo/PATO_0001794	coiling
http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/PATO_0001798	kinked
http://purl.obolibrary.org/obo/PATO_0001799	ruffled
http://purl.obolibrary.org/obo/PATO_0001810	wrinkled
http://purl.obolibrary.org/obo/PATO_0001819	atretic
http://purl.obolibrary.org/obo/PATO_0001848	asymmetrically curved
http://purl.obolibrary.org/obo/PATO_0001852	dislocated
http://purl.obolibrary.org/obo/PATO_0001857	concave
http://purl.obolibrary.org/obo/PATO_0001865	spheroid
http://purl.obolibrary.org/obo/PATO_0001870	crescent-shaped
http://purl.obolibrary.org/obo/PATO_0001872	cuboid
http://purl.obolibrary.org/obo/PATO_0001873	cylindrical
http://purl.obolibrary.org/obo/PATO_0001875	triangular
http://purl.obolibrary.org/obo/PATO_0001878	sigmoid
http://purl.obolibrary.org/obo/PATO_0001879	U-shaped
http://purl.obolibrary.org/obo/PATO_0001881	arrow-shaped
http://purl.obolibrary.org/obo/PATO_0001883	clavate
http://purl.obolibrary.org/obo/PATO_0001889	scalloped
http://purl.obolibrary.org/obo/PATO_0001890	tripartite
http://purl.obolibrary.org/obo/PATO_0001891	ovate
http://purl.obolibrary.org/obo/PATO_0001906	movement quality
http://purl.obolibrary.org/obo/PATO_0001907	botryoidal
http://purl.obolibrary.org/obo/PATO_0001910	folded
http://purl.obolibrary.org/obo/PATO_0001925	surface feature shape
http://purl.obolibrary.org/obo/PATO_0001928	blistered
http://purl.obolibrary.org/obo/PATO_0001935	obtuse
http://purl.obolibrary.org/obo/PATO_0001944	yellow orange
http://purl.obolibrary.org/obo/PATO_0001950	blunt
http://purl.obolibrary.org/obo/PATO_0001955	cuneate
http://purl.obolibrary.org/obo/PATO_0001970	brochidodromous
http://purl.obolibrary.org/obo/PATO_0001973	cuspidate
http://purl.obolibrary.org/obo/PATO_0001976	serration
http://purl.obolibrary.org/obo/PATO_0001977	angular
http://purl.obolibrary.org/obo/PATO_0001979	lobed
